Player Name,Presenze Totali,Gol,Assist,Sostituito In,Sostituito Out,Cartellino Giallo,Cartellino Rosso,Gol su Rigore,Gol per Minuti,Minuti Giocati,Presenze in Nazionale,Gol in Nazionale,Assist in Nazionale,Sostituito In (Nazionale),Sostituito Out (Nazionale),Cartellino Giallo in Nazionale,Cartellino Rosso in Nazionale,Gol su Rigore in Nazionale,Gol per Minuti in Nazionale,Minuti Giocati in Nazionale
Anfilogino Guarisi,137,42,0,70,92,0,1,8,293',12.292',6,1,0,7,8,0,0,0,540',540'
Sergio Bertoni,252,42,1,70,92,0,0,2,542',22.770',6,1,0,7,8,0,0,0,600',600'
Alessandro Matri,498,127,30,198,180,41,2,7,219',27.829',7,1,0,6,1,0,0,0,228',228'
Enrico Rivolta,363,58,6,99,90,0,1,3,563',32.670',8,1,0,1,3,0,0,0,742',742'
Mattia Destro,15,0,0,12,3,2,0,0,356',356',8,1,0,5,3,1,0,0,291',291'
Giampaolo Menichelli,400,101,5,7,9,3,1,3,351',35.452',9,1,0,4,8,0,0,0,810',810'
Wilfried Gnonto,44,9,3,18,22,7,0,0,243',2.190',13,1,2,8,3,0,0,0,501',501'
Bruno Giordano,472,179,11,33,75,15,2,35,218',39.093',13,1,0,5,4,0,0,0,698',698'
Daniele Massaro,610,111,35,105,146,24,0,0,408',45.266',15,1,0,10,5,1,0,0,821',821'
Sebastian Giovinco,494,166,121,114,159,60,1,20,205',34.071',23,1,3,18,3,1,0,0,808',808'
Luigi Riva,374,205,2,1,7,0,0,23,163',33.362',42,35,2,1,3,1,0,2,106',3.713'
Alberto Orlando,346,95,1,2,1,2,0,10,327',31.094',5,4,0,1,1,0,0,0,102',406'
Roberto Mancini,739,204,84,69,175,37,8,29,292',59.629',36,4,4,13,13,1,0,0,519',2.074'
Dino Da Costa,364,136,0,70,92,0,2,0,241',32.730',1,1,0,7,8,0,0,0,90',90'
